Sex_b,Age_pre,Pclass,Embarked_S,Embarked_C,SibSp,Parch,Fare,Cabin_null,Cabin_C,Cabin_E,Cabin_G,Cabin_D,Cabin_A,Cabin_B,Cabin_F,Cabin_T,Name_Miss,Name_Mrs,Name_Master,Name_Col,Name_Major,Name_Mr,Name_Dr,Name_Don,Name_Sir,Ticket_num,Ticket_cat,Survived
0,22.0,3,1,0,1,0,7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21171,0,0
1,38.0,1,0,0,1,0,71.2833,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17599,1,1
1,26.0,3,1,0,0,0,7.925,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3101282,2,1
1,35.0,1,1,0,1,0,53.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,113803,3,1
0,35.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,373450,4,0
0,29.0,3,0,1,0,0,8.4583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,330877,5,0
0,54.0,1,1,0,0,0,51.8625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17463,6,0
0,2.0,3,1,0,3,1,21.075,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,349909,7,0
1,27.0,3,1,0,0,2,11.1333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,347742,8,1
1,14.0,2,0,0,1,0,30.0708,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,237736,9,1
1,4.0,3,1,0,1,1,16.7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9549,10,1
1,58.0,1,1,0,0,0,26.55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,113783,11,1
0,20.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2151,12,0
0,39.0,3,1,0,1,5,31.275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347082,13,0
1,14.0,3,1,0,0,0,7.8542,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,350406,14,0
1,55.0,2,1,0,0,0,16.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,248706,15,1
0,2.0,3,0,1,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,382652,16,0
0,29.0,2,1,0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,244373,17,1
1,31.0,3,1,0,1,0,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,345763,18,0
1,29.0,3,0,0,0,0,7.225,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2649,19,1
0,35.0,2,1,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,239865,20,0
0,34.0,2,1,0,0,0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,248698,21,1
1,15.0,3,0,1,0,0,8.0292,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330923,22,1
0,28.0,1,1,0,0,0,35.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,113788,23,1
1,8.0,3,1,0,3,1,21.075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,349909,7,0
1,38.0,3,1,0,1,5,31.3875,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,347077,24,1
0,29.0,3,0,0,0,0,7.225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2631,25,0
0,19.0,1,1,0,3,2,263.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19950,26,0
1,29.0,3,0,1,0,0,7.8792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330959,27,1
0,29.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349216,28,0
0,40.0,1,0,0,0,0,27.7208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17601,29,0
1,29.0,1,0,0,1,0,146.5208,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,17569,30,1
1,29.0,3,0,1,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,335677,31,1
0,66.0,2,1,0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24579,32,0
0,28.0,1,0,0,1,0,82.1708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17604,33,0
0,42.0,1,1,0,1,0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113789,34,0
0,29.0,3,0,0,0,0,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2677,35,1
0,21.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2152,36,0
1,18.0,3,1,0,2,0,18.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,345764,37,0
1,14.0,3,0,0,1,0,11.2417,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2651,38,1
1,40.0,3,1,0,1,0,9.475,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7546,39,0
1,27.0,2,1,0,1,0,21.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11668,40,0
0,29.0,3,0,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349253,41,0
1,3.0,2,0,0,1,2,41.5792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2123,42,1
1,19.0,3,0,1,0,0,7.8792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330958,43,1
0,29.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23567,44,0
0,29.0,3,0,1,1,0,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,370371,45,0
1,29.0,3,0,1,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14311,46,1
0,29.0,3,0,0,2,0,21.6792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2662,47,0
1,18.0,3,1,0,1,0,17.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,349237,48,0
0,7.0,3,1,0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3101295,49,0
0,21.0,3,1,0,0,0,7.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39886,50,0
1,49.0,1,0,0,1,0,76.7292,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,17572,51,1
1,29.0,2,1,0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2926,52,1
0,65.0,1,0,0,0,1,61.9792,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,113509,53,0
0,29.0,1,1,0,0,0,35.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19947,54,1
1,21.0,2,1,0,0,0,10.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31026,55,1
0,28.5,3,0,0,0,0,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2697,56,0
1,5.0,2,1,0,1,2,27.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34651,57,1
0,11.0,3,1,0,5,2,46.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2144,58,0
0,22.0,3,0,0,0,0,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2669,59,0
1,38.0,1,0,0,0,0,80.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,113572,60,1
0,45.0,1,1,0,1,0,83.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36973,61,0
0,4.0,3,1,0,3,2,27.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,347088,62,0
0,29.0,1,0,0,0,0,27.7208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17605,63,0
0,29.0,3,0,0,1,1,15.2458,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2661,64,1
1,29.0,2,1,0,0,0,10.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,29395,65,1
0,19.0,3,1,0,0,0,8.1583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3464,66,0
1,17.0,3,1,0,4,2,7.925,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3101281,67,1
0,26.0,3,1,0,2,0,8.6625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,315151,68,0
0,32.0,2,1,0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33111,69,0
1,16.0,3,1,0,5,2,46.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2144,58,0
0,21.0,2,1,0,0,0,73.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14879,70,0
0,26.0,3,0,0,1,0,14.4542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2680,71,0
0,32.0,3,1,0,0,0,56.4958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1601,72,1
0,25.0,3,1,0,0,0,7.65,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,348123,73,0
0,29.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349208,74,0
0,29.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,374746,75,0
0,0.83,2,1,0,0,2,29.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,248738,76,1
1,30.0,3,1,0,0,0,12.475,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,364516,77,1
0,22.0,3,1,0,0,0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,345767,78,0
0,29.0,3,1,0,0,0,9.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,345779,79,1
1,29.0,3,0,1,0,0,7.7875,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330932,80,1
0,28.0,1,1,0,0,0,47.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113059,81,0
1,17.0,2,1,0,0,0,10.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14885,82,1
1,33.0,3,1,0,3,0,15.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3101278,83,1
0,16.0,3,1,0,1,3,34.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6608,84,0
0,29.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,392086,85,0
1,23.0,1,1,0,3,2,263.0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19950,26,1
0,24.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343275,86,0
0,29.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343276,87,0
0,20.0,3,1,0,0,0,7.8542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347466,88,0
0,46.0,1,1,0,1,0,61.175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5734,89,0
0,26.0,3,1,0,1,2,20.575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2315,90,0
0,59.0,3,1,0,0,0,7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,364500,91,0
0,29.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,374910,92,0
0,71.0,1,0,0,0,0,34.6542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17754,93,0
0,23.0,1,0,0,0,1,63.3583,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,17759,94,1
1,34.0,2,1,0,0,1,23.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,231919,95,1
0,34.0,2,1,0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,244367,96,0
1,28.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,349245,97,0
0,29.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349215,98,0
0,21.0,1,1,0,0,1,77.2875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,35281,99,0
0,33.0,3,1,0,0,0,8.6542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7540,100,0
0,37.0,3,1,0,2,0,7.925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3101276,101,0
0,28.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349207,102,0
1,21.0,3,1,0,0,0,7.65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,343120,103,1
0,29.0,3,1,0,0,0,7.775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,312991,104,1
0,38.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349249,105,0
1,29.0,3,0,1,1,0,24.15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,371110,106,1
0,47.0,1,1,0,0,0,52.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110465,107,0
1,14.5,3,0,0,1,0,14.4542,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2665,108,0
0,22.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,324669,109,0
1,20.0,3,1,0,1,0,9.825,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4136,110,0
1,17.0,3,0,0,0,0,14.4583,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2627,111,0
0,21.0,3,1,0,0,0,7.925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0
0,70.5,3,0,1,0,0,7.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,370369,113,0
0,29.0,2,1,0,1,0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11668,40,0
0,24.0,1,0,0,0,1,247.5208,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,17558,114,0
1,2.0,3,1,0,4,2,31.275,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,347082,13,0
0,21.0,2,1,0,2,0,73.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14879,70,0
0,29.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54510,115,0
0,32.5,2,0,0,1,0,30.0708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,237736,9,0
1,32.5,2,1,0,0,0,13.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27267,116,1
0,54.0,1,1,0,0,1,77.2875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,35281,99,0
0,12.0,3,0,0,1,0,11.2417,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2651,38,1
0,29.0,3,0,1,0,0,7.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,370372,117,0
0,24.0,3,1,0,0,0,7.1417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17369,118,1
1,29.0,3,0,0,1,1,22.3583,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2668,119,1
0,45.0,3,1,0,0,0,6.975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347061,120,0
0,33.0,3,0,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,349241,121,0
0,20.0,3,1,0,0,0,7.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3101307,122,0
1,47.0,3,1,0,1,0,14.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3337,123,0
1,29.0,2,1,0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,228414,124,1
0,25.0,2,1,0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29178,125,0
0,23.0,2,0,0,0,0,15.0458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2133,126,0
1,19.0,1,1,0,0,2,26.2833,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11752,127,1
0,37.0,1,1,0,1,0,53.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113803,3,0
0,16.0,3,1,0,0,0,9.2167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7534,128,0
0,24.0,1,0,0,0,0,79.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17593,129,0
1,29.0,3,0,0,0,2,15.2458,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2678,130,0
1,22.0,3,1,0,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,347081,131,1
1,24.0,3,1,0,1,0,15.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3101279,132,1
0,19.0,3,0,1,0,0,6.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,365222,133,0
0,18.0,2,1,0,0,0,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,231945,134,0
0,19.0,2,1,0,1,1,36.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33112,135,0
0,27.0,3,1,0,0,0,7.7958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,350043,136,1
1,9.0,3,1,0,2,2,34.375,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6608,84,0
0,36.5,2,1,0,0,2,26.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,230080,137,0
0,42.0,2,1,0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244310,138,0
0,51.0,2,1,0,0,0,12.525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,139,0
1,22.0,1,1,0,1,0,66.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,113776,140,1
0,55.5,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11206,141,0
0,40.5,3,1,0,0,2,14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,851,142,0
0,29.0,3,1,0,0,0,7.3125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,265302,143,0
0,51.0,1,0,0,0,1,61.3792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17597,144,0
1,16.0,3,0,1,0,0,7.7333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35851,145,1
0,30.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,392090,146,0
0,29.0,3,1,0,0,0,8.6625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,315037,147,0
0,29.0,3,1,0,8,2,69.55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2343,148,0
0,44.0,3,1,0,0,1,16.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,371362,149,0
1,40.0,2,1,0,0,0,15.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,33595,150,1
0,26.0,3,1,0,0,0,7.775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347068,151,0
0,17.0,3,1,0,0,0,8.6625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,315093,152,0
0,1.0,3,1,0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3101295,49,0
0,9.0,3,1,0,0,2,20.525,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,363291,153,1
1,29.0,1,1,0,0,1,55.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,113505,154,1
1,45.0,3,1,0,1,4,27.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,347088,62,0
0,29.0,1,1,0,0,0,25.925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17318,155,0
0,28.0,3,1,0,0,0,56.4958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1601,72,0
0,61.0,1,1,0,0,0,33.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,111240,156,0
0,4.0,3,0,1,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,382652,16,0
1,1.0,3,1,0,1,1,11.1333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,347742,8,1
0,21.0,3,1,0,0,0,7.925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,157,0
0,56.0,1,0,0,0,0,30.6958,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17764,158,0
0,18.0,3,1,0,1,1,7.8542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,350404,159,0
